FLIGHT_CARRIER_CODE;FLIGHT_NUMBER;AIRCRAFT_TYPE
AF ;1555;320
AF ;1558;E90
AF ;1559;E90
AF ;1560;E90
AF ;1561;E90
AF ;1562;E90
AF ;1563;E90
AF ;1564;E90
AF ;1565;E90
AF ;1566;319
AF ;1567;319
AF ;1568;E70
AF ;1569;E70
AF ;1570;E70
AF ;1571;E70
AF ;1572;E70
AF ;1573;E70
AF ;1574;E70
AF ;1575;E70
AF ;1576;E90
AF ;1577;E90
AF ;1578;320
AF ;1579;320
AF ;1580;223
AF ;1581;223
AF ;1582;320
AF ;1583;320
AF ;1584;320
AF ;1585;320
AF ;1586;E70
AF ;1587;E70
AF ;1588;223
AF ;1589;223
AF ;1590;E70
AF ;1591;E70
AF ;1592;E70
AF ;1593;E70
AF ;1594;E70
AF ;1595;E70
AF ;1596;320
AF ;1597;320
AF ;1598;E70
AF ;1599;E70
AF ;1600;223
AF ;1601;223
AF ;1602;E90
AF ;1603;E90
AF ;1604;223
AF ;1605;223
AF ;1606;E90
AF ;1607;E90
AF ;1608;E90
AF ;1609;E90
AF ;1610;223
AF ;1611;223
AF ;1612;E70
AF ;1613;E70
AF ;1614;223
AF ;1615;223
AF ;1616;E90
AF ;1617;E90
AF ;1618;E90
AF ;1619;E90
AF ;1620;E90
AF ;1621;E90
AF ;1622;223
AF ;1623;223
AF ;1624;321
AF ;1625;321
AF ;1628;E90
AF ;1630;223
AF ;1631;223
AF ;1634;E70
AF ;1635;E70
AF ;1638;E90
AF ;1639;E90
AF ;1640;320
AF ;1641;320
AF ;1642;223
AF ;1643;223
AF ;1644;E90
AF ;1648;321
AF ;1649;321
AF ;1650;318
AF ;1651;318
AF ;1652;E70
AF ;1653;E70
AF ;1654;320
AF ;1655;320
AF ;1658;E90
AF ;1659;E90
AF ;1662;E90
AF ;1666;319
AF ;1667;319
AF ;1668;E90
AF ;1669;E90
AF ;1671;E70
AF ;1672;E70
AF ;1673;E70
AF ;1674;E70
AF ;1675;E70
AF ;1676;E70
AF ;1677;E70
AF ;1678;E70
AF ;1679;E70
AF ;1680;223
AF ;1681;223
AF ;1682;E70
AF ;1683;E70
AF ;1684;E70
AF ;1685;E70
AF ;1686;E90
AF ;1687;E90
AF ;1688;E70
AF ;1689;E70
AF ;1690;E70
AF ;1691;E70
AF ;1694;73H
AF ;1695;73H
AF ;1696;E70
AF ;1697;E90
AF ;1698;E90
AF ;1699;E90
AF ;1700;E90
AF ;1701;E70
AF ;1702;E90
AF ;1703;E90
AF ;1704;E90
AF ;1705;E90
AF ;1706;E90
AF ;1707;E90
AF ;1708;319
AF ;1709;319
AF ;1710;223
AF ;1711;223
AF ;1713;E90
AF ;1714;E90
AF ;1716;E90
AF ;1717;E90
AF ;1718;E90
AF ;1719;E90
AF ;1720;E90
AF ;1721;E90
AF ;1722;320
AF ;1723;320
AF ;1726;223
AF ;1727;223
AF ;1728;E90
AF ;1729;E90
AF ;1730;223
AF ;1731;223
AF ;1732;223
AF ;1733;223
AF ;1734;223
AF ;1735;223
AF ;1738;223
AF ;1739;223
AF ;1740;320
AF ;1741;320
AF ;1742;223
AF ;1743;223
AF ;1746;320
AF ;1747;320
AF ;1748;320
AF ;1749;320
AF ;1750;223
AF ;1751;223
AF ;1754;320
AF ;1755;320
AF ;1757;E70
AF ;1758;E90
AF ;1759;E90
AF ;1762;E90
AF ;1763;E90
AF ;1764;E90
AF ;1765;E90
AF ;1766;318
AF ;1767;318
AF ;1774;320
AF ;1775;320
AF ;1776;320
AF ;1777;320
AF ;1780;223
AF ;1781;223
AF ;1782;320
AF ;1783;320
AF ;1784;320
AF ;1785;320
AF ;1790;319
AF ;1791;319
AF ;1794;E70
AF ;1795;E70
AF ;1796;E70
AF ;1797;E70
AF ;1798;E70
AF ;1799;E70
AF ;1800;223
AF ;1801;223
AF ;1806;E90
AF ;1807;E90
AF ;1808;E70
AF ;1809;E70
AF ;1810;E90
AF ;1811;E90
AF ;1814;320
AF ;1815;320
AF ;1816;223
AF ;1817;223
AF ;1818;E90
AF ;1819;E90
AF ;1820;E70
AF ;1821;E70
AF ;1822;223
AF ;1823;223
AF ;1824;320
AF ;1825;320
AF ;1826;320
AF ;1827;320
AF ;1828;223
AF ;1829;223
AF ;1830;223
AF ;1831;223
AF ;1832;320
AF ;1833;320
AF ;1834;321
AF ;1835;321
AF ;1838;E90
AF ;1839;E90
AF ;1840;223
AF ;1841;223
AF ;1842;223
AF ;1843;223
AF ;1850;223
AF ;1851;223
AF ;1854;223
AF ;1855;223
AF ;1864;319
AF ;1865;319
AF ;1874;E70
AF ;1875;E70
AF ;1876;321
AF ;1877;321
AF ;1878;E90
AF ;1879;E90
AF ;1886;E90
AF ;1887;E90
AF ;1888;320
AF ;1889;320
AF ;1890;319
AF ;1891;319
AF ;1894;319
AF ;1895;319
AF ;1896;320
AF ;1897;320
AF ;1898;319
AF ;1899;319
AF ;210K;223
AF ;211K;223
AF ;212K;223
AF ;213K;223
AF ;214K;223
AF ;215K;223
AF ;216K;223
AF ;219K;223
AF ;360S;321
AF ;360V;320
AF ;360W;320
AF ;360Y;320
AF ;361S;320
AF ;361V;320
AF ;361Y;319
AF ;362S;320
AF ;362V;320
AF ;362W;32A
AF ;362Y;319
AF ;363S;321
AF ;363V;320
AF ;363Y;320
AF ;364S;320
AF ;364V;320
AF ;364Y;319
AF ;365S;320
AF ;365V;320
AF ;365Y;319
AF ;366S;223
AF ;366V;320
AF ;366Y;319
AF ;367S;223
AF ;367V;320
AF ;367Y;320
AF ;368S;320
AF ;368V;223
AF ;368Y;318
AF ;369V;320
AF ;369Y;320
AF ;370S;332
AF ;370V;77W
AF ;370Y;77W
AF ;371S;772
AF ;371V;332
AF ;371Y;77W
AF ;372S;359
AF ;372V;332
AF ;372Y;77W
AF ;373S;332
AF ;373V;332
AF ;373Y;77W
AF ;374S;77W
AF ;374V;332
AF ;374Y;77W
AF ;375S;77W
AF ;375V;332
AF ;375Y;77W
AF ;376V;332
AF ;376Y;77W
AF ;377V;332
AF ;377Y;77W
AF ;378V;359
AF ;378Y;77W
AF ;379S;77W
AF ;379V;77W
AF ;379Y;77W
AF ;380V;223
AF ;380Y;320
AF ;382V;223
AF ;384V;318
AF ;386V;321
AF ;388V;223
AF ;4000;320
AF ;4001;320
AF ;4010;320
AF ;4011;320
AF ;4012;320
AF ;4013;320
AF ;4014;320
AF ;4015;320
AF ;4016;320
AF ;4017;320
AF ;4081;77W
AF ;4100;320
AF ;4101;320
AF ;4102;320
AF ;4103;320
AF ;4106;320
AF ;4107;320
AF ;4110;320
AF ;4111;320
AF ;4112;320
AF ;4113;320
AF ;4116;320
AF ;4117;320
AF ;4118;320
AF ;4119;320
AF ;4120;319
AF ;4121;319
AF ;4122;320
AF ;4123;320
AF ;4128;320
AF ;4129;320
AF ;4140;320
AF ;4141;320
AF ;4142;320
AF ;4143;320
AF ;4144;320
AF ;4145;320
AF ;4146;320
AF ;4147;320
AF ;4148;320
AF ;4149;320
